Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"fft/cpp 0 1048576 1",0.1890348997993537,0.1884110179824898,0.1896931782646248,3.2767973492666535e-3,2.8518741571077586e-3,3.927005281926482e-3
"fft/cpp 0 1048576 2",0.2900488987846442,0.28966101559830404,0.290509051410682,2.1602020457401373e-3,1.6817477034320088e-3,3.047696958301213e-3
"fft/cpp 0 1048576 15",1.7173482290191715,1.7122216645164554,1.7228616038246223,2.7210016722321102e-2,2.3263196662126482e-2,3.364664486100274e-2
"fft/cpp 0 1048576 52",5.9622217169685445,5.937508625118266,5.988182097999578,0.12996056366023157,0.11497006004543167,0.14859750478064299
"fft/cpp 0 1048576 102",11.46945997628403,11.432413035957344,11.510348791210179,0.19981604660379912,0.17639569105833697,0.25352031384748985
"fft/cpp 1 1048576 1",0.11011155995560375,0.10987264069748616,0.11035413417053914,1.2382293264763266e-3,9.448360530012976e-4,1.7119868306181565e-3
"fft/cpp 1 1048576 2",0.1671848765297005,0.16676058682633127,0.16757828625870433,2.093884188767735e-3,1.8925239363161881e-3,2.2893461314919226e-3
"fft/cpp 1 1048576 15",0.8898815575523445,0.8893056670112678,0.8906704846305913,3.416588347804254e-3,2.5696654257493135e-3,4.92668995238199e-3
"fft/cpp 1 1048576 52",2.9446897760315016,2.9430960074348524,2.9467525020523144,9.238883929950344e-3,7.234573700483641e-3,1.2876240770244154e-2
"fft/cpp 1 1048576 102",5.732934969989784,5.729810427753457,5.736271697608955,1.654536672399021e-2,1.4200678099856203e-2,2.0533098542738347e-2
"fft/fft 0 1048576 1",0.9598532453460763,0.9590893379135199,0.9606092778129646,3.8918069572614626e-3,3.516840470814727e-3,4.466090696070406e-3
"fft/fft 0 1048576 2",1.2606178728027415,1.2594580689354016,1.2618531862182687,6.132036299311265e-3,5.42239804330576e-3,7.061201100789611e-3
"fft/fft 0 1048576 15",5.189931665985115,5.180434965221413,5.200212687580115,5.08532595937829e-2,4.5185842542036246e-2,5.6975205372966936e-2
"fft/fft 0 1048576 52",16.494246377079026,16.475006414978036,16.51599968823624,0.10532523108393796,9.194395413480415e-2,0.12424646978051353
"fft/fft 0 1048576 102",31.996526578990945,31.95638999613954,32.037523471443215,0.20807804476304725,0.18529274615784114,0.23804727350735913
"fft/fft 1 1048576 1",0.8424580565376351,0.8422990313453742,0.8426517883224555,8.987130703392488e-4,7.314154169245628e-4,1.1686608151293093e-3
"fft/fft 1 1048576 2",1.0849975863380505,1.0848553529663156,1.0851837149543828,8.294083495463107e-4,6.470836302089661e-4,1.2030799841953206e-3
"fft/fft 1 1048576 15",4.270179735748298,4.269539503185279,4.270949119655618,3.594555478666075e-3,2.963061120886898e-3,4.528913950925143e-3
"fft/fft 1 1048576 52",13.567766744224556,13.565882517425544,13.56987600955201,1.0200765931493086e-2,8.911493466794079e-3,1.2054707097149606e-2
"fft/fft 1 1048576 102",26.139652182189955,26.13022464188767,26.16539833935929,7.314153283125435e-2,1.9366850037385894e-2,0.14848705380156663
"fft/vector-fftw 0 1048576 1",0.4425629511756966,0.43909248503876425,0.4476912656707833,2.131152672487841e-2,1.5923430141554444e-2,2.8685544685420696e-2
"fft/vector-fftw 0 1048576 2",0.5177773180885384,0.5159875884933541,0.5203397265358036,1.0858399220129867e-2,8.487543552202619e-3,1.4699243684405068e-2
"fft/vector-fftw 0 1048576 15",1.6493278399391245,1.6418729296608041,1.6577806893272469,4.065798629424391e-2,3.497366938904991e-2,4.703171607456314e-2
"fft/vector-fftw 0 1048576 52",4.652520953742988,4.643214408485421,4.66165502938462,4.7100833951846145e-2,4.2248399887051716e-2,5.302401001978734e-2
"fft/vector-fftw 0 1048576 102",8.81335598143769,8.752152330009466,8.880906845657355,0.329705326301322,0.29912017086613724,0.3691187857108232
"fft/repa 0 4096 1",7.095046195221635e-2,7.092072877121659e-2,7.098719271851275e-2,1.6864701173960643e-4,1.3992436713819272e-4,2.2621310098649243e-4
"fft/repa 0 4096 2",0.11790501031113362,0.11786446246338582,0.11795021208954548,2.1964224745373476e-4,1.9245051927537093e-4,2.6150785159062133e-4
"fft/repa 0 4096 15",0.7326162210388253,0.7324871602935858,0.7327605811042854,6.998971317509202e-4,5.949345969624974e-4,8.356202920105668e-4
"fft/repa 0 4096 52",2.548273712722785,2.548037833301551,2.5485439315719676,1.2908922380208375e-3,1.1009097474172483e-3,1.5236113656498735e-3
"fft/repa 0 4096 102",5.14647041711045,5.145999092189795,5.147000817386637,2.565823154478134e-3,2.199866088576114e-3,3.202938752664039e-3
"fft/pure-fft 0 4096 1",0.12192148598862385,0.12176903638077471,0.12209070357514115,8.195268778305408e-4,7.05234528722274e-4,9.615387176605275e-4
"fft/pure-fft 0 4096 2",0.21410171660614702,0.21395298632813184,0.2142551413459846,7.750622423260084e-4,6.795438086313435e-4,8.969786609995085e-4
"fft/pure-fft 0 4096 15",1.4098963871879644,1.4093865171356268,1.4104983321113658,2.8382539628413464e-3,2.3906454171214453e-3,3.526964931432044e-3
"fft/pure-fft 0 4096 52",4.832348395912179,4.824959246246344,4.84137406501008,4.186396988526264e-2,3.550861704406486e-2,4.997548521840553e-2
"fft/pure-fft 0 4096 102",9.45036397608948,9.43610985430909,9.465596307842262,7.559646513622117e-2,6.819653424008942e-2,8.4972258239875e-2
